#NGC 3627
#Name	logP	m_V	m_I	
C2-V4	1.623	24.55	23.53	
C2-V8	1.602	24.87	24.05	
C2-V10	1.342	24.71	24.23	
C2-V12	1.415	25.03	24.05	
C2-V13	1.260	25.83	24.99	
C2-V15	1.431	25.71	24.70	
C2-V17	1.613	24.24	23.20	
C2-V19	1.763	24.80	23.86	
C2-V20	1.415	24.84	24.03	
C2-V22	1.255	25.19	24.48	
C2-V29	1.272	25.58	24.61	
C2-V32	1.407	25.29	24.26	
C2-V33	1.505	24.64	23.68	
C2-V34	1.681	24.35	23.28	
C2-V35	1.452	25.24	24.35	
C3-V1	1.288	25.77	24.98	
C3-V3	1.477	24.99	23.98	
C3-V4	1.431	25.22	24.35	
C3-V5	1.288	25.01	24.32	
C3-V6	1.342	25.14	24.24	
C3-V8	1.288	25.38	24.38	
C3-V10	1.613	24.21	23.35	
C4-V2	1.272	25.76	25.17	
C4-V4	1.415	25.42	24.76	
C4-V6	1.283	25.47	24.58	
