#NGC 4496A
#Name	logP	m_V	m_I	
C1-V1	1.511	25.57	24.71	
C1-V4	1.447	25.86	25.06	
C1-V5	1.449	26.04	25.29	
C1-V6	1.294	26.27	25.61	
C1-V9	1.462	25.70	24.77	
C1-V10	1.301	26.33	25.41	
C1-V12	1.653	24.75	23.99	
C1-V13	1.462	25.42	24.48	
C1-V16	1.505	25.14	24.34	
C1-V17	1.352	26.29	25.69	
C2-V12	1.613	25.63	24.60	
C2-V14	1.724	24.47	23.60	
C2-V17	1.602	25.15	24.29	
C2-V18	1.447	25.39	24.64	
C2-V20	1.699	25.27	24.38	
C2-V21	1.716	25.23	24.32	
C2-V22	1.708	24.44	23.57	
C2-V24	1.328	26.22	25.56	
C2-V27	1.255	26.31	25.26	
C3-V2	1.519	25.26	24.61	
C3-V3	1.720	25.14	24.18	
C3-V4	1.720	24.37	23.47	
C3-V12	1.531	25.49	24.49	
C3-V17	1.398	25.79	24.94	
C3-V21	1.663	25.23	24.28	
C3-V28	1.591	25.45	24.62	
C3-V34	1.531	25.84	24.99	
C3-V36	1.283	26.39	25.64	
C3-V37	1.716	24.50	23.72	
C3-V39	1.255	26.30	25.46	
C4-V7	1.845	24.52	23.51	
C4-V10	1.386	26.07	25.38	
C4-V14	1.369	25.64	24.98	
C4-V16	1.281	26.18	25.20	
C4-V20	1.401	25.49	24.81	
C4-V22	1.484	25.19	24.47	
C4-V23	1.436	25.46	24.57	
C4-V27	1.375	25.58	24.62	
C4-V28	1.267	26.50	25.58	
C4-V32	1.412	25.62	24.87	
C4-V35	1.281	26.42	25.67	
C4-V37	1.748	25.11	24.06	
C4-V40	1.556	25.43	24.41	
