#NGC 4536
#Name	logP	m_V	m_I			
C1-V3	1.480	26.04	24.91	
C1-V4	1.312	26.05	25.35	
C1-V5	1.505	25.65	24.69	
C1-V6	1.551	25.75	24.45	
C1-V10	1.580	25.31	24.30	
C2-V4	1.458	25.81	25.09	
C2-V6	1.435	26.00	25.42	
C2-V8	1.771	24.74	23.90	
C2-V9	1.763	25.39	24.48	
C2-V14	1.726	25.12	24.20	
C2-V16	1.519	25.31	24.46	
C2-V20	1.327	26.21	25.21	
C2-V22	1.623	25.61	24.88	
C2-V29	1.477	26.14	25.34	
C2-V30	1.490	25.75	24.88	
C2-V34	1.491	25.93	25.11	
C2-V36	1.535	25.24	24.57	
C3-V3	1.813	24.80	24.06	
C3-V7	1.348	26.06	24.95	
C3-V11	1.407	25.53	24.77	
C3-V12	1.364	25.18	24.39	
C3-V18	1.386	26.00	25.17	
C3-V21	1.799	25.13	23.85	
C3-V22	1.562	25.33	24.50	
C3-V24	1.447	25.55	24.23	
C3-V25	1.771	24.49	23.43	
C3-V31	1.458	25.62	25.34	
C3-V32	1.597	25.60	24.47	
C4-V5	1.387	25.53	24.88	
C4-V8	1.699	25.35	24.28	
C4-V13	1.740	25.44	24.13	
